Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:53:15 a.m.
Durée (s) : 	12.260136
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
6.501587	-21.16	-13.50	-4.37	-1.60	5.24	5.74	10.94	13.50	17.61	19.44	22.65	27.83	31.22	31.80	37.95	38.56	39.75	40.42	46.43	45.83	43.36	42.53	39.87	37.64	41.77	45.87	48.32	39.62	37.29	54.93
6.594467	-16.81	-13.70	-6.76	-2.80	2.37	4.91	12.85	13.61	18.76	18.94	21.82	27.75	30.46	31.62	37.21	37.51	38.93	40.16	46.97	46.34	43.39	42.12	39.16	37.10	41.77	45.40	48.40	39.59	37.07	54.91
6.687347	-17.52	-11.99	-4.98	-1.12	2.05	4.54	11.84	14.21	17.27	18.28	22.66	26.89	29.57	31.53	36.21	37.38	38.60	40.45	46.88	46.58	43.34	42.20	39.49	37.48	41.78	45.50	48.22	39.53	37.21	54.90
6.780227	-16.28	-11.12	-4.23	-2.01	5.42	6.85	10.87	12.52	16.77	18.30	21.18	26.32	31.91	32.46	37.21	37.87	40.04	40.96	45.99	45.86	42.92	41.94	39.58	37.25	41.75	45.30	48.31	39.37	37.09	54.72
6.873107	-14.77	-11.49	-3.58	-0.83	6.94	5.16	9.61	10.33	18.91	19.12	23.02	27.34	30.40	32.64	36.17	39.21	40.71	40.82	46.32	46.24	43.24	42.31	39.99	38.17	41.62	45.62	48.15	39.73	37.27	54.92
6.965986	-15.46	-11.66	-4.51	-0.27	6.65	7.77	10.65	9.36	16.30	18.28	21.78	27.53	30.39	33.43	36.10	37.98	39.63	40.52	45.80	45.85	42.72	42.42	39.72	37.60	41.10	45.22	48.30	39.91	37.47	54.65
7.058866	-17.00	-12.77	-6.25	1.26	7.00	5.57	9.66	10.27	16.11	17.13	22.65	28.12	31.48	32.58	35.56	37.66	38.46	40.65	46.33	45.66	42.59	42.49	39.33	36.67	41.05	45.19	47.75	39.60	37.30	54.48
7.151746	-18.18	-11.24	-7.46	1.16	7.40	4.42	9.03	10.64	17.40	16.97	21.55	27.70	30.62	31.78	37.23	38.51	39.03	41.08	46.18	45.85	43.80	42.67	39.64	36.96	41.00	45.56	48.16	39.47	37.46	54.80
7.244626	-17.79	-10.23	-4.97	1.88	9.30	2.45	8.44	11.44	19.34	18.89	21.70	28.65	31.65	31.52	36.92	38.00	39.48	41.63	45.53	45.19	43.85	43.32	39.92	37.87	40.77	45.61	48.22	39.53	37.44	54.75
7.337506	-15.31	-10.36	-4.16	0.82	9.01	2.19	7.15	13.58	17.87	19.18	21.10	27.80	31.07	31.38	36.61	37.95	38.95	40.70	44.99	45.60	43.43	42.89	39.34	37.24	41.12	45.19	47.77	39.60	37.40	54.44
